HTS_Number,Full_Description,General_Rate_of_Duty,Special_Rate_of_Duty,Column_2_Rate_of_Duty,Additional_Duties
0101.00.00.00,"Live horses, asses, mules and hinnies:",,,,
0101.21.00.00,"Live horses, asses, mules and hinnies: - Horses: - Purebred breeding animals",Free,,Free,
0101.21.00.10,"Live horses, asses, mules and hinnies: - Horses: - Purebred breeding animals - Males",Free,,Free,
0101.21.00.20,"Live horses, asses, mules and hinnies: - Horses: - Purebred breeding animals - Females",Free,,Free,
0101.29.00.00,"Live horses, asses, mules and hinnies: - Horses: - Other",Free,,20%,
0101.29.00.10,"Live horses, asses, mules and hinnies: - Horses: - Other - Imported for immediate slaughter",Free,,20%,
0101.29.00.90,"Live horses, asses, mules and hinnies: - Horses: - Other - Other",Free,,20%,
0101.30.00.00,"Live horses, asses, mules and hinnies: - Asses",6.80%,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",15%,
0101.90.00.00,"Live horses, asses, mules and hinnies: - Other:",,,,
0101.90.30.00,"Live horses, asses, mules and hinnies: - Other: - Imported for immediate slaughter",Free,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",Free,
0101.90.40.00,"Live horses, asses, mules and hinnies: - Other: - Other",4.50%,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",20%,
0102.00.00.00,Live bovine animals:,,,,
0102.21.00.00,Live bovine animals: - Cattle: - Purebred breeding animals,Free,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",Free,
0102.21.00.10,Live bovine animals: - Cattle: - Purebred breeding animals - Dairy: - Male,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",Free,
0102.21.00.20,Live bovine animals: - Cattle: - Purebred breeding animals - Dairy: - Female,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",Free,
0102.21.00.30,Live bovine animals: - Cattle: - Purebred breeding animals - Other: - Male,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",Free,
0102.21.00.50,Live bovine animals: - Cattle: - Purebred breeding animals - Other: - Female,Free,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",Free,
