1. HTS_Number: 6913.10.00.00 | Full_Description: Statuettes and other ornamental ceramic articles: - Of porcelain or china: | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 30% | Additional_Duties: 

2. HTS_Number: 6913.10.50.00 | Full_Description: Statuettes and other ornamental ceramic articles: - Of porcelain or china: - Other: - Other | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 70% | Additional_Duties: 

3. HTS_Number: 6913.10.20.00 | Full_Description: Statuettes and other ornamental ceramic articles: - Of porcelain or china: - Other: - Of bone chinaware | General_Rate_of_Duty: 3.30% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 70% | Additional_Duties: 

4. HTS_Number: 6913.90.00.00 | Full_Description: Statuettes and other ornamental ceramic articles: - Other: | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 30% | Additional_Duties: 

5. HTS_Number: 6913.90.20.00 | Full_Description: Statuettes and other ornamental ceramic articles: - Other: - Other: - Of ceramic tile | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 50% | Additional_Duties: 

6. HTS_Number: 6914.10.00.00 | Full_Description: Other ceramic articles: - Of porcelain or china: | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 30% | Additional_Duties: 

7. HTS_Number: 6913.90.50.00 | Full_Description: Statuettes and other ornamental ceramic articles: - Other: - Other: - Other | General_Rate_of_Duty: 6% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 51.50% | Additional_Duties: 

8. HTS_Number: 6913.90.30.00 | Full_Description: Statuettes and other ornamental ceramic articles: - Other: - Other: - Of earthenware, whether or not decorated, having a reddish-colored body and a lustrous glaze, and mottled, streaked or solidly colored brown to black with metallic oxide or salt | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 25% | Additional_Duties: 

9. HTS_Number: 6913.00.00.00 | Full_Description: Statuettes and other ornamental ceramic articles: | General_Rate_of_Duty:  | Special_Rate_of_Duty:  | Column_2_Rate_of_Duty:  | Additional_Duties: 

10. HTS_Number: 6914.10.80.00 | Full_Description: Other ceramic articles: - Of porcelain or china: - Other | General_Rate_of_Duty: 9% | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 60% | Additional_Duties: 

11. HTS_Number: 6914.90.00.00 | Full_Description: Other ceramic articles: - Other: | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 30% | Additional_Duties: 

12. HTS_Number: 6914.00.00.00 | Full_Description: Other ceramic articles: | General_Rate_of_Duty:  | Special_Rate_of_Duty:  | Column_2_Rate_of_Duty:  | Additional_Duties: 

13. HTS_Number: 6912.00.50.00 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Other | General_Rate_of_Duty: 6% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 50.50% | Additional_Duties: 

14. HTS_Number: 6913.10.10.00 | Full_Description: Statuettes and other ornamental ceramic articles: - Of porcelain or china: - Statues, statuettes and handmade flowers, valued over $2.50 each and produced by professional sculptors or directly from molds made from original models produced by professional sculptors | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 20% | Additional_Duties: 

15. HTS_Number: 6912.00.48.00 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Other: - Other | General_Rate_of_Duty: 9.80% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

16. HTS_Number: 6912.00.46.00 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Other: - Serviette rings | General_Rate_of_Duty: 9.80% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

17. HTS_Number: 6914.90.80.00 | Full_Description: Other ceramic articles: - Other: - Other | General_Rate_of_Duty: 5.60% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 45% | Additional_Duties: 

18. HTS_Number: 6912.00.20.00 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Tableware and kitchenware: - Other: - Hotel or restaurant ware and other ware not household ware | General_Rate_of_Duty: 28% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

19. HTS_Number: 6912.00.48.90 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Other: - Other - Other | General_Rate_of_Duty: 9.80% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

20. HTS_Number: 6911.10.60.00 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Other: - Serviette rings | General_Rate_of_Duty: 20.80% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 75% | Additional_Duties: 

21. HTS_Number: 6912.00.00.00 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: | General_Rate_of_Duty:  | Special_Rate_of_Duty:  | Column_2_Rate_of_Duty:  | Additional_Duties: 

22. HTS_Number: 6912.00.10.00 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Tableware and kitchenware: - Of coarse-grained earthenware, or of coarse- grained stoneware; of fine-grained earthenware, whether or not decorated, having a reddish-colored body and a lustrous glaze which, on teapots, may be any color, but which, on other articles, must be mottled, streaked or solidly colored brown to black with metallic oxide or salt | General_Rate_of_Duty: 0.70% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 25% | Additional_Duties: 

23. HTS_Number: 6912.00.48.10 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Other: - Other - Suitable for food or drink contact | General_Rate_of_Duty: 9.80% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

24. HTS_Number: 6911.10.15.00 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Tableware and kitchenware: - Other: - Of bone chinaware: - Valued not over $31.50 per dozen pieces | General_Rate_of_Duty: 8% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 75% | Additional_Duties: 

25. HTS_Number: 6914.10.40.00 | Full_Description: Other ceramic articles: - Of porcelain or china: - Ceramic ferrules of porcelain or china, not exceeding 3 mm in diameter or 25 mm in length, having a fiber channel opening and/or ceramic mating sleeves of alumina or zirconia | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 60% | Additional_Duties: 

26. HTS_Number: 6911.10.00.00 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Tableware and kitchenware: | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 30% | Additional_Duties: 

27. HTS_Number: 6912.00.35.10 | Full_Description: Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Available in specified sets: - In any pattern for which the aggregate value of the articles listed in additional U.S. note 6(b) of this chapter is not over $38 - Plates not over 27.9 cm in maximum dimension; teacups and saucers; mugs; soups, fruits and cereals, the foregoing not over 22.9 cm in maximum dimension | General_Rate_of_Duty: 9.80% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

